"AGREMENTENTITE";"NOMENTITE";"ADRESSEENTITE";"CODEPOSTALENTITE";"VILLEENTITE";"PAYS";"NOTEENTITE"
"309LAB";"Archery Club Labuissière";"Salon Communal
Rue Neuve";"6567";"La Buissière";"be";"Courriel : lab@lfbta.be"
"311PAC";"Peruwelz Archery Club";"Salle des Sports de la Verte Chasse
2, Place Verte Chasse";"7600";"Peruwelz";"be";"Site internet : http://www.archery-club-peruwelz.be
Le vendredi est dédié au initiation de 17h00 à 19h30"
"312FAC";"Les Francs Archers de Chimay";"Magasin Delhaize (2° étage)
18 rue de Virelles";"6460";"Chimay";"be";"Courriel : fac@lfbta.be
Site web : http://francsarcherschimay.e-monsite.com"
"313ABT";"Archers du Berceau de Thuin";"Local des Archers du Berceau
4bis, rue du Chêne";"6530";"Thuin";"be";""
"314SAG";"Le Sagittaire";"Ecole Saint Joseph,
Place Bertaux";"6041";"Gosselies";"be";"Courriel : sag@lfbta.be
Site : http://www.sagittaire-archeryclub.be"
"315ACB";"Archers du Château Binche";"Rue Carlo Mahy";"7130";"Binche";"be";"Courriel : ACB_315@skynet.be"
"316SSC";"Sylver Star Charleroi";"Plaine de Jeux « Pol Genot »
80, rue du Fort";"6000";"Charleroi";"be";"Courriel : ssc@lfbta.be"
"319ECA";"E-cool Archery Club";"Complexe sportif de Piéton
Rue de l’avenir";"7160";"PIETON";"be";"Terrain : Terrain de football de Godarville
  Domaine Provincial de CLAIRE-FONTAINE
  Rue Clémenceau 7160 GODARVILLE

Courriel : eca-319@hotmail.com
Site : http://www.eca-319.be"
"320LEF";"Les Archers du Fosteau";"Salle Lacherez
34, Rue Lacherez";"6150";"Anderlues";"be";"Terrain extérieur : 1, Rue Léon Cauderlier à 6530 Leers-et-Fosteau

Courriel : lef.archery@gmail.com
site : http://www.lef-archery.org"
"401ACG";"Archery Club Grivegnée";"Ecole de Péville
Av de Péville";"4030";"Grivegnée";"be";"Courriel : acg@lfbta.be
Site web : www.acgrivegnee.be"
"402HUY";"Compagnie des Archers de Huy";"Piscine communale Huy
5, avenue Godin Parnajon";"4500";"Huy";"be";"Courriel : huy@lfbta.be"
"403LIE";"Première Compagnie d’Archers Liège";"Plaine de Sports Cointe Bd Kleyer";"4000";"Liège";"be";"Courriel : lie@lfbta.be
Site web : http://users.skynet.be/1ciearchers.lie/"
"404CAS";"Confrérie des Archers Spadois";"Centre Adeps la Fraineuse
41, avenue Hesse";"4900";"Spa";"be";"Courriel : cas@lfbta.be
Site web : http://www.archers-spa.be"
"405CTH";"Archers de l’Ordre du Chuffin";"Hall Omnisport";"4910";"Theux";"be";"Courriel : cth@lfbta.be"
"407ACM";"Archers du Coq Mosan Oupeye";"Refuge d’Aaz
rue Gonissen";"4680";"Hermée";"be";"Courriel : acm@lfbta.be
Site web : http://www.acm-oupeye.be/"
"411ADS";"Archers de Seraing";"Ecole communale des 6 Bonniers,
25 rue Paquay";"4100";"Seraing";"be";"Courriel : ads@lfbta.be"
"416CAJ";"Confrérie des archers de la Julienne";"Gymnase de Housse,
57, Rue de Barchon";"4671";"Housse";"be";"Courriel : caj@lfbta.be
Site internet : http://www.caj416.net"
"414ITW";"Intertir Welkenraedt";"Local de tir";"";"Welkenraedt";"be";"Site : http://www.libou.be"
"417CAF";"Compagnie des Archers Fléronnais ";"Salle Ecole Ste Julienne de Romsée
52 Rue Colonel Piron";"4624";"Romsée";"be";""
"418AVB";"Les Archers du Val de Blegny";"58 Route de Légipont";"4671";"SAIVE";"be";"Secrétariat AVB : Route de Légipont, 58 à 4671 SAIVE
	Tel: 0473 / 85 44 98 - Fax : 04 362 03 62 

Site : http://www.avb418.be
Courriel : avb@euphonynet.be"
"603LAC";"Compagnie d’Arc du Liry Archery Chiny";"Centre Sportif ADEPS « Le Liry »
21 rue du Liry";"6810";"Chiny";"be";"Courriel : contact@liryarchery.net
Site web : http://www.liryarchery.net"
"604AMV";"Archers de la Vallée des Macralles Vielsalm";"Ancienne caserne Ratz de Rencheux";"6690";"Vielsalm";"be";"Courriel : amv@lfbta.be
Site web : http://users.skynet.be/amv/index.htm"
"605ACH";"Archers du Comte Henri La Roche";"Complexe Sportif
rue de la Piscine";"6980";"La Roche";"be";"Courriel : ach605@live.be"
"609ASH";"Les Archers de St Hubert";"Salle Communale de St Hubert
rue des Prés";"6870";"St Hubert";"be";"Courriel : ash@lfbta.be"
"610ACF";"Archery Club de la Famenne";"Salle St François
36 rue V. Libert ";"6900";"Marche en Famenne";"be";"Courriel : acf@lfbta.be"
"611ACS";"Archery Club du Sud";"Salle du « Ryder’s Park »";"6780";"MESSANCY";"be";"Autre adresse:
  Complexe Sportif de Messancy
  50, Rue d’Arlon
  6780 Messancy 

Courriel : acs@lfbta.be et acs.secretaire@gmail.com
Site web : www.archeryclubdusud.be"
"612GAC";"1ere Compagnie des Archers de Gaume - Musson";"Centre Sportif de Musson,
rue de France";"6750";"Musson";"be";""
"614FDM";"La Flèche de Musson";"Ecole fondamentale de la Communauté Française
22, place Abbe Goffinet";"6750";"Musson";"be";""
"615ADL";"Les Archers de la Lienne";"Centre sportif « Le point du Jour »";"4990";"Lierneux";"be";"Site : http://archers-lienne.webuda.com/"
"701LAW";"Les Lum’çons Wierde";"Collège N.D. de la Paix 
Place Notre-Dame de la Paix";"5101";"Erpent";"be";"Courriel : law@lfbta.be"
"702MSP";"La Magna Sagitta Pondrôme";"Salle St Antoine,
Rue de Rochefort à";"5570";"Gozin";"be";"Courriel : msp@lfbta.be"
"703FBG";"Flèche Brisée de Godinne";"18a, rue du Pont ";"5530";"Godinne";"be";"Courriel : fbg@lfbta.be"
"704TAB";"Arrow Tabora Namur";"Centre Namurois des Sports,
avenue de Tabora ";"5000";"Namur";"be";"Courriel : tab@lfbta.be"
"705CAB";"Compagnons Archers de Bertransart";"Centre Sportif de Bertransart 
5, route de Philippeville";"6120";"Nalinnes";"be";"Courriel : cab@lfbta.be
Site web : http://www.archers-cab.be"
"706BTS";"Les Bons Tireûs d’Seuris";"Maison de Quartier,
2 Avenue du Progrès";"5060";"Auvelais";"be";"Courriel : bts@lfbta.be"
